Id,Label,Classes,Group
0,aguilar_ElMercaderAmante_C6001_CANON,aguilar,1
1,alarcon_amistad_castigada_COMED,alarcon,2
2,alarcon_anticrist_COMED,alarcon,2
3,alarcon_crueldad_honor_COMED,alarcon,2
4,alarcon_cueva_salamanca_COMED,alarcon,2
5,alarcon_culpa_pena_agravio_COMED,alarcon,2
6,alarcon_desdichado_fingir_COMED,alarcon,2
7,alarcon_domingo_blas_COMED,alarcon,2
8,alarcon_dueño_estrellas_COMED,alarcon,2
9,alarcon_empenos_engano_COMED,alarcon,2
10,alarcon_examen_maridos_COMED,alarcon,2
11,alarcon_favores_mundo_COMED,alarcon,2
12,alarcon_ganar_amigos_COMED,alarcon,2
13,alarcon_indrustia_suerte_COMED,alarcon,2
14,alarcon_LaVerdadSospechosa_C6033_CANON,alarcon,2
15,alarcon_manganilla_melilla_COMED,alarcon,2
16,alarcon_mudarse_mejorarse_COMED,alarcon,2
17,alarcon_paredes_oyen_COMED,alarcon,2
18,alarcon_pechos_privilegiados_COMED,alarcon,2
19,alarcon_prueba_promesas_COMED,alarcon,2
20,alarcon_quien_engana_COMED,alarcon,2
21,alarcon_quien_mal_anda_COMED,alarcon,2
22,alarcon_semejante_simismo_COMED,alarcon,2
23,alarcon_tejedor_segovia_COMED,alarcon,2
24,alarcon_todo_ventura_COMED,alarcon,2
25,belmonte_diablo_predicador_COMED,belmonte,3
26,belmonte_ElafanadordeUtrera_REIDY,belmonte,3
27,belmonte_ElcercodeSevilla_REIDY,belmonte,3
28,belmonte_Elrollo(entremesimpreso)_REIDY,belmonte,3
29,belmonte_ElsastredelCampillo_REIDY,belmonte,3
30,belmonte_Loquepasa(entremes)_REIDY,belmonte,3
31,bustos_espanoles_chile_COMED,bustos,4
32,calderon_a-dios-por-razon-de-estado.xml_DRACOR,calderon,5
33,calderon_a-maria-el-corazon.xml_DRACOR,calderon,5
34,calderon_afectos-de-odio-y-amor.xml_DRACOR,calderon,5
35,calderon_amado_aborrecido_COMED,calderon,5
36,calderon_amor-honor-y-poder.xml_DRACOR,calderon,5
37,calderon_andromeda-y-perseo.xml_DRACOR,calderon,5
38,calderon_AntesTodoMiDama_BVC,calderon,5
39,calderon_Argenis_JL,calderon,5
40,calderon_armas_hermosura_COMED,calderon,5
41,calderon_ASecretoAgravioSecretaVenganza_C6013_CANON,calderon,5
42,calderon_cadenas_demonio_COMED,calderon,5
43,calderon_CasaConDosPuertasMalaEsDeGuardar_C6012_CANON,calderon,5
44,calderon_castillo_lindabridis_COMED,calderon,5
45,calderon_CE_mananas.abril_BVC,calderon,5
46,calderon_CenaBaltasar_BVC,calderon,5
47,calderon_conquien_vengo_vengo_COMED,calderon,5
48,calderon_darlotodo_darnada_COMED,calderon,5
49,calderon_DT_amar.muerte_BVC,calderon,5
50,calderon_DT_monstruo.mundo_BVC,calderon,5
51,calderon_DT_pintor.deshonra_BVC,calderon,5
52,calderon_DT_sitio.breda_BVC,calderon,5
53,calderon_el-ano-santo-de-roma.xml_DRACOR,calderon,5
54,calderon_el-cordero-de-isaias.xml_DRACOR,calderon,5
55,calderon_el-diablo-mudo-primera-version.xml_DRACOR,calderon,5
56,calderon_el-diablo-mudo-segunda-version.xml_DRACOR,calderon,5
57,calderon_el-divino-jason.xml_DRACOR,calderon,5
58,calderon_el-divino-orfeo.xml_DRACOR,calderon,5
59,calderon_el-faetonte.xml_DRACOR,calderon,5
60,calderon_el-galan-fantasma.xml_DRACOR,calderon,5
61,calderon_el-indulto-general.xml_DRACOR,calderon,5
62,calderon_el-jardin-de-falerina.xml_DRACOR,calderon,5
63,calderon_el-monstruo-de-los-jardines.xml_DRACOR,calderon,5
64,calderon_el-nuevo-hospicio-de-pobres.xml_DRACOR,calderon,5
65,calderon_el-santo-rey-don-fernando-primera-parte.xml_DRACOR,calderon,5
66,calderon_el-socorro-general.xml_DRACOR,calderon,5
67,calderon_el-veneno-y-la-triaca.xml_DRACOR,calderon,5
68,calderon_ElAlcaldeDeZalamea_C6002_CANON,calderon,5
69,calderon_ElGranTeatroDelMundo_C6005_CANON,calderon,5
70,calderon_ElMagicoProdigioso_C6007_CANON,calderon,5
71,calderon_ElMedicoDeSuHonra_C6008_CANON,calderon,5
72,calderon_ElPrincipeConstante_C6010_CANON,calderon,5
73,calderon_escondido_tapada_COMED,calderon,5
74,calderon_la-aurora-en-copacabana.xml_DRACOR,calderon,5
75,calderon_la-devocion-de-la-cruz.xml_DRACOR,calderon,5
76,calderon_la-devocion-de-la-misa.xml_DRACOR,calderon,5
77,calderon_la-fiera-el-rayo-y-la-piedra.xml_DRACOR,calderon,5
78,calderon_la-hidalga-del-valle.xml_DRACOR,calderon,5
79,calderon_la-humildad-coronada-de-las-plantas.xml_DRACOR,calderon,5
80,calderon_la-inmunidad-del-sagrado.xml_DRACOR,calderon,5
81,calderon_la-nave-del-mercader.xml_DRACOR,calderon,5
82,calderon_la-piel-de-gedeon.xml_DRACOR,calderon,5
83,calderon_la-primer-flor-del-carmelo.xml_DRACOR,calderon,5
84,calderon_la-protestacion-de-la-fe.xml_DRACOR,calderon,5
85,calderon_la-segunda-esposa.xml_DRACOR,calderon,5
86,calderon_la-vina-del-senor.xml_DRACOR,calderon,5
87,calderon_LaDamaDuende_C6004_CANON,calderon,5
88,calderon_LaHijaDelAireParteI_C6006a_CANON,calderon,5
89,calderon_LaHijaDelAireParteII_C6006b_CANON,calderon,5
90,calderon_las-ordenes-militares.xml_DRACOR,calderon,5
91,calderon_las-visiones-de-la-muerte.xml_DRACOR,calderon,5
92,calderon_LaVidaEsSueno_C6011_CANON,calderon,5
93,calderon_loa-a-el-ano-santo-de-roma.xml_DRACOR,calderon,5
94,calderon_loa-a-el-divino-orfeo.xml_DRACOR,calderon,5
95,calderon_loa-a-fieras-afemina-amor.xml_DRACOR,calderon,5
96,calderon_loa-en-metafora-de-la-piadosa-hermandad-del-refugio.xml_DRACOR,calderon,5
97,calderon_loa-para-el-gran-teatro-del-mundo.xml_DRACOR,calderon,5
98,calderon_loa-para-la-humildad-coronada-de-las-plantas.xml_DRACOR,calderon,5
99,calderon_loa-para-psiquis-y-cupido.xml_DRACOR,calderon,5
100,calderon_los-encantos-de-la-culpa.xml_DRACOR,calderon,5
101,calderon_LosCabellosDeAbsalon_C6003_CANON,calderon,5
102,calderon_luisperez_gallego_COMED,calderon,5
103,calderon_manos_blancas_COMED,calderon,5
104,calderon_memorias_WIKI,calderon,5
105,calderon_MIT_cefalo.pocris_BVC,calderon,5
106,calderon_MIT_eco.narciso_BVC,calderon,5
107,calderon_MIT_encanto.amor_BVC,calderon,5
108,calderon_MIT_fortunas.andromeda_BVC,calderon,5
109,calderon_nadiefie_secreto_COMED,calderon,5
110,calderon_no-hay-instante-sin-milagro.xml_DRACOR,calderon,5
111,calderon_NoHayBurlasConElAmor_C6009_CANON,calderon,5
112,calderon_NoHayCosaComoCallar_BVC,calderon,5
113,calderon_nosiempre_peorcierto_COMED,calderon,5
114,calderon_NuevoPalacioRetiro_BVC,calderon,5
115,calderon_pintura_memorial_WIKI,calderon,5
116,calderon_primero-y-segundo-isaac.xml_DRACOR,calderon,5
117,calderon_psiquis-y-cupido-que-escribio-para-esta-villa-de-madrid.xml_DRACOR,calderon,5
118,calderon_quien-hallara-mujer-fuerte.xml_DRACOR,calderon,5
119,calderon_Sonetos_BVC,calderon,5
120,calderon_suenos-hay-que-verdad-son.xml_DRACOR,calderon,5
121,calderon_testamento_WIKI,calderon,5
122,calderon_tresjusticias_una_COMED,calderon,5
123,calderon_triunfar-muriendo.xml_DRACOR,calderon,5
124,calderon_yerros_PROVISIONAL_JL,calderon,5
125,candamo_sastreCampillos_WIKI_JL,candamo,6
126,caro_conde_partinuples_COMED,caro,7
127,caro_valor_agravio_mujer_COMED,caro,7
128,castro_conde_Alarcos_COMED,castro,8
129,castro_curioso_impertinente_COMED,castro,8
130,castro_ElCondeAlarcos_C6015_CANON,castro,8
131,castro_LasMocedadesDelCidParteI_C6014a_CANON,castro,8
132,castro_LasMocedadesDelCidParteII_C6014b_CANON,castro,8
133,castro_mocedades_cid_COMED,castro,8
134,castro_narciso_opinion_COMED,castro,8
135,cervantes_banos_argel_COMED,cervantes,9
136,cervantes_casa_celos_COMED,cervantes,9
137,cervantes_ElCercoDeNumancia_C6017_CANON,cervantes,9
138,cervantes_ENT_cueva_salamanca_COMED,cervantes,9
139,cervantes_ENT_eleccion_alcaldes_danganzo_COMED,cervantes,9
140,cervantes_ENT_guarda_cuidadosa_COMED,cervantes,9
141,cervantes_ENT_habladores_RdLit_JL,cervantes,9
142,cervantes_ENT_juez_divorcios_COMED,cervantes,9
143,cervantes_ENT_retablo_maravillas_COMED,cervantes,9
144,cervantes_ENT_trampa_COMED,cervantes,9
145,cervantes_ENT_viejo_celoso_COMED,cervantes,9
146,cervantes_ENT_vizcaino_fingido_COMED,cervantes,9
147,cervantes_entretenida_COMED,cervantes,9
148,cervantes_gallardo_espanol_COMED,cervantes,9
149,cervantes_gran_sultana_COMED,cervantes,9
150,cervantes_laberinto_amor_COMED,cervantes,9
151,cervantes_pedro_urdamalas_COMED,cervantes,9
152,cervantes_rufian_dichoso_COMED,cervantes,9
153,cervantes_trato_argel_COMED,cervantes,9
154,claramonte_Desteaguanobeberé_REIDY,claramonte,10
155,claramonte_Elhonorenlasangria_y_medicodesuhonra_CH,claramonte,10
156,claramonte_ElInobediente_REIDY,claramonte,10
157,claramonte_Elmayorreydelosreyes_REIDY,claramonte,10
158,claramonte_EltaodeSanAntón_REIDY,claramonte,10
159,claramonte_ElvalientenegroenFlandes_REIDY,claramonte,10
160,claramonte_Pusosemeelsol_REIDY,claramonte,10
161,claramonte_SanCarlos_REIDY,claramonte,10
162,claramonte_Valiente_CH,claramonte,10
163,coello_ElCondeDeSex_C6018_CANON,coello,11
164,cubillo_LasMunecasDeMarcela_C6019_CANON,cubillo,12
165,desconocido_LaEstrellaDeSevilla_C6020_CANON,desconocido,13
166,Diamante_AlfeoAretusa_TESO_normalized,Diamante,14
167,Diamante_AmorEsSangre_TESO_normalized,Diamante,14
168,Diamante_CercoDeZamora_TESO_normalized,Diamante,14
169,Diamante_CuantoMientenIndicios_TESO_normalized,Diamante,14
170,Diamante_CumplirleDiosPalabra_TESO_normalized,Diamante,14
171,Diamante_DefensorPenon_TESO_normalized,Diamante,14
172,Diamante_HerculesOcana_TESO_normalized,Diamante,14
173,Diamante_IrRiesgoDicha_TESO_normalized,Diamante,14
174,Diamante_JubileoPorciuncula_TESO_normalized,Diamante,14
175,Diamante_JupiterSemele_TESO_normalized,Diamante,14
176,Diamante_LidesAmorDesden_TESO_normalized,Diamante,14
177,Diamante_MasEncantoHermosura_TESO_normalized,Diamante,14
178,Diamante_NacimientoCristo_TESO_normalized,Diamante,14
179,Diamante_NegroMasProdigioso_TESO_normalized,Diamante,14
180,Diamante_NoAspirarMerecer_TESO_normalized,Diamante,14
181,Diamante_PasionVencidaAfecto_TESO_normalized,Diamante,14
182,Diamante_ReinaMariaEstuarda_TESO_normalized,Diamante,14
183,Diamante_RemedioPeligro_TESO_normalized,Diamante,14
184,Diamante_SantaJuliana_TESO_normalized,Diamante,14
185,Diamante_SantaMariaDelMonte_TESO_normalized,Diamante,14
186,Diamante_SantaMariaMagdalenaDePazzi_TESO_normalized,Diamante,14
187,Diamante_SantaTeresaDeJesus_TESO_normalized,Diamante,14
188,Diamante_SolDeSierra_TESO_normalized,Diamante,14
189,Diamante_TriunfoPazTiempo_TESO_normalized,Diamante,14
190,fragoso_COLAB_quijote.mancha_BVC,fragoso,15
191,godinez_Aundenochealumbraelsol_BVC,godinez,16
192,godinez_LasLagrimasDeDavid_C6021_CANON,godinez,16
193,guedeja_Dueno_esta_muerte,guedeja,17
194,hoz_VillanoDanubioBuenJuez_CH,hoz,18
195,lanini_magdalena.roma_PRINGLE,lanini,19
196,lope_AcertarErrando_AL0473-ARTELOPE,lope,20
197,lope_AdonisYVenus_C6042_CANON,lope,20
198,lope_AllaDarasRayo_AL0481-ARTELOPE,lope,20
199,lope_AlPasarDelArroyo_AL0476-ARTELOPE,lope,20
200,lope_AmarComoSeHaDeAmar_AL0484-ARTELOPE,lope,20
201,lope_AmarServirYEsperar_AL0486-ARTELOPE,lope,20
202,lope_AmorConVista_AL0491-ARTELOPE,lope,20
203,lope_AmorPleitoYDesafio_AL0495-ARTELOPE,lope,20
204,lope_AmorSecretoHastaCelos_AL0494-ARTELOPE,lope,20
205,lope_AngelicaEnElCatay_AL0497-ARTELOPE,lope,20
206,lope_AntonioRocaOLaMuerteMasVenturosa_AL0952-ARTELOPE,lope,20
207,lope_AraucoDomadoPorElExcelentisimoSenorDonGarciaHurtadoDeMendoza_AL0501-ARTELOPE,lope,20
208,lope_AudienciasDelReyDonPedro_AL0511-ARTELOPE,lope,20
209,lope_AyVerdadesQueEnAmor_AL0470-ARTELOPE,lope,20
210,lope_BarlaanYJosafat_AL0516-ARTELOPE,lope,20
211,lope_BarlaanYJosafat_AL2018-ARTELOPE,lope,20
212,lope_BelardoElFurioso_AL0521-ARTELOPE,lope,20
213,lope_CarlosVEnFrancia_AL0547-ARTELOPE,lope,20
214,lope_CastelvinesYMonteses_AL0549-ARTELOPE,lope,20
215,lope_ConSuPanSeLoComa_AL0561-ARTELOPE,lope,20
216,lope_ContraValorNoHayDesdicha_AL0565-ARTELOPE,lope,20
217,lope_DavidPerseguidoYMontesDeGelboe_AL2020-ARTELOPE,lope,20
218,lope_DeAmarSinSaberAQuien_AL0485-ARTELOPE,lope,20
219,lope_DeCuandoAcaNosVino_AL0577-ARTELOPE,lope,20
220,lope_DelMalLoMenos_AL0578-ARTELOPE,lope,20
221,lope_DelMonteSale_AL0579-ARTELOPE,lope,20
222,lope_DinerosSonCalidad_AL0586-ARTELOPE,lope,20
223,lope_DiosHaceReyes_AL0587-ARTELOPE,lope,20
224,lope_DivinaVencedoraYFamososHechosDeMeledinGallinatoYTomaDeMoron_AL0593-ARTELOPE,lope,20
225,lope_DondeNoEstaSuDuenoEstaSuDuelo_AL0604-ARTELOPE,lope,20
226,lope_DonJuanDeCastro_AL0596-ARTELOPE,lope,20
227,lope_DonJuanDeCastro_AL0597-ARTELOPE,lope,20
228,lope_DonLopeDeCardona_AL0598-ARTELOPE,lope,20
229,lope_ElAbanillo_AL0471-ARTELOPE,lope,20
230,lope_ElAceroDeMadrid_AL0472-ARTELOPE,lope,20
231,lope_ElAlcaideDeMadrid_AL0477-ARTELOPE,lope,20
232,lope_ElAlcaldeDeZalamea_AL0478-ARTELOPE,lope,20
233,lope_ElAlcaldeMayor_AL0479-ARTELOPE,lope,20
234,lope_ElAmanteAgradecido_AL0482-ARTELOPE,lope,20
235,lope_ElAmigoHastaLaMuerte_AL0487-ARTELOPE,lope,20
236,lope_ElAmigoPorFuerza_AL0488-ARTELOPE,lope,20
237,lope_ElAmorDesatinado_AL0492-ARTELOPE,lope,20
238,lope_ElAmorEnamorado_AL0493-ARTELOPE,lope,20
239,lope_ElAnimalDeHungria_AL0498-ARTELOPE,lope,20
240,lope_ElAntecristo_AL0499-ARTELOPE,lope,20
241,lope_ElAnzueloDeFenisa_C6056_CANON,lope,20
242,lope_ElArenalDeSevilla_AL0503-ARTELOPE,lope,20
243,lope_ElArgelFingidoYRenegadoDeAmor_AL0505-ARTELOPE,lope,20
244,lope_ElAsaltoDeMastriquePorElPrincipeDeParma_AL0508-ARTELOPE,lope,20
245,lope_ElBastardoMudarra_AL0517-ARTELOPE,lope,20
246,lope_ElBautismoDelPrincipeDeMarruecos_AL0902-ARTELOPE,lope,20
247,lope_ElBlasonDeLosChavesDeVillalba_AL0526-ARTELOPE,lope,20
248,lope_ElBoboDelColegio_AL0528-ARTELOPE,lope,20
249,lope_ElBrasilRestituido_AL0531-ARTELOPE,lope,20
250,lope_ElCaballeroDeIllescas_AL0537-ARTELOPE,lope,20
251,lope_ElCaballeroDelMilagro_AL0539-ARTELOPE,lope,20
252,lope_ElCaballeroDeOlmedo_C6043_CANON,lope,20
253,lope_ElCasamientoEnLaMuerte_AL0548-ARTELOPE,lope,20
254,lope_ElCastigoDelDiscreto_AL0550-ARTELOPE,lope,20
255,lope_ElCastigoSinVenganza_C6044_CANON,lope,20
256,lope_ElCercoDeTremecen_AL0555-ARTELOPE,lope,20
257,lope_ElCercoDeVienaYSocorroPorCarlosQuinto_AL0556-ARTELOPE,lope,20
258,lope_ElCondeFernanGonzalez_AL0562-ARTELOPE,lope,20
259,lope_ElCuerdoEnSuCasa_AL0573-ARTELOPE,lope,20
260,lope_ElCuerdoLoco_AL0574-ARTELOPE,lope,20
261,lope_ElDesconfiado_AL0580-ARTELOPE,lope,20
262,lope_ElDesdenVengado_AL0581-ARTELOPE,lope,20
263,lope_ElDesposorioEncubierto_AL0583-ARTELOPE,lope,20
264,lope_ElDesprecioAgradecido_AL0584-ARTELOPE,lope,20
265,lope_ElDomineLucas_AL0595-ARTELOPE,lope,20
266,lope_ElEnemigoEnganado_AL0615-ARTELOPE,lope,20
267,lope_ElEsclavoDeRoma_AL0619-ARTELOPE,lope,20
268,lope_ElEsclavoFingido_AL0621-ARTELOPE,lope,20
269,lope_ElFavorAgradecido_AL0629-ARTELOPE,lope,20
270,lope_ElGalanCastrucho_C6047_CANON,lope,20
271,lope_ElGalanDeLaMembrilla_AL0642-ARTELOPE,lope,20
272,lope_ElGalanEscarmentado_AL0643-ARTELOPE,lope,20
273,lope_ElGansoDeOro_AL0646-ARTELOPE,lope,20
274,lope_ElGenovesLiberal_AL0647-ARTELOPE,lope,20
275,lope_ElGranDuqueDeMoscoviaYEmperadorPerseguido_AL0649-ARTELOPE,lope,20
276,lope_ElGraoDeValencia_AL0651-ARTELOPE,lope,20
277,lope_ElHalconDeFederico_AL0659-ARTELOPE,lope,20
278,lope_ElHameteDeToledo_AL0661-ARTELOPE,lope,20
279,lope_ElHidalgoBencerraje_AL0668-ARTELOPE,lope,20
280,lope_ElHijoPorEnganoYTomaDeToledo_AL0672-ARTELOPE,lope,20
281,lope_ElHijoSinPadre_AL0673-ARTELOPE,lope,20
282,lope_ElHijoVenturoso_AL0674-ARTELOPE,lope,20
283,lope_ElHombreDeBien_AL0677-ARTELOPE,lope,20
284,lope_ElHombrePorSuPalabra_AL0679-ARTELOPE,lope,20
285,lope_ElHonradoHermano_AL0680-ARTELOPE,lope,20
286,lope_ElIngrato_AL0689-ARTELOPE,lope,20
287,lope_ElIngratoArrepentido_AL0686-ARTELOPE,lope,20
288,lope_ElJuezEnSuCausa_AL0696-ARTELOPE,lope,20
289,lope_ElLaberintoDeCreta_AL0700-ARTELOPE,lope,20
290,lope_ElLabradorVenturoso_AL0701-ARTELOPE,lope,20
291,lope_ElLacayoFingido_C6049_CANON,lope,20
292,lope_ElLealCriado_AL0706-ARTELOPE,lope,20
293,lope_ElLocoPorFuerza_AL0717-ARTELOPE,lope,20
294,lope_ElMaestroDeDanzar_AL0724-ARTELOPE,lope,20
295,lope_ElMaridoMasFirme_AL0726-ARTELOPE,lope,20
296,lope_ElMarquesDeLasNavas_AL0728-ARTELOPE,lope,20
297,lope_ElMarquesDeMantua_AL0729-ARTELOPE,lope,20
298,lope_ElMayordomoDeLaDuquesaDeAmalfi_C6051_CANON,lope,20
299,lope_ElMayorImposible_AL0735-ARTELOPE,lope,20
300,lope_ElMejorAlcaldeElRey_C6050_CANON,lope,20
301,lope_ElMolino_AL0752-ARTELOPE,lope,20
302,lope_ElNacimientoDeCristo_AL0760-ARTELOPE,lope,20
303,lope_ElNegroDelMejorAmoAntioboDeCerdena_AL0766-ARTELOPE,lope,20
304,lope_ElNinoInocenteDeLaGuardia_AL0772-ARTELOPE,lope,20
305,lope_ElNuevoMundoDescubiertoPorCristobalColon_AL0779-ARTELOPE,lope,20
306,lope_ElPerroDelHortelano_C6052_CANON,lope,20
307,lope_ElPerseguido_AL0546-ARTELOPE,lope,20
308,lope_ElPiadosoAragones_AL0799-ARTELOPE,lope,20
309,lope_ElPiadosoVeneciano_AL0800-ARTELOPE,lope,20
310,lope_ElPleitoPorLaHonraOElValorDeFernandico_AL0802-ARTELOPE,lope,20
311,lope_ElPoderEnElDiscreto_AL0810-ARTELOPE,lope,20
312,lope_ElPostrerGodoDeEspana_AL0818-ARTELOPE,lope,20
313,lope_ElPremioDeLaHermosura_AL0820-ARTELOPE,lope,20
314,lope_ElPremioDelBienHablar_AL0821-ARTELOPE,lope,20
315,lope_ElPremioRigurosoYAmistadBienPagada_AL0822-ARTELOPE,lope,20
316,lope_ElPrincipeDespenado_AL0827-ARTELOPE,lope,20
317,lope_ElPrincipeInocente_AL0828-ARTELOPE,lope,20
318,lope_ElPrincipeMelancolico_AL0829-ARTELOPE,lope,20
319,lope_ElPrincipePerfecto_AL0830-ARTELOPE,lope,20
320,lope_ElPrincipePerfecto_AL0831-ARTELOPE,lope,20
321,lope_ElRemedioEnLaDesdicha_AL0849-ARTELOPE,lope,20
322,lope_ElReyPorSuSemejanza_AL0850-ARTELOPE,lope,20
323,lope_ElRoboDeDina_AL0852-ARTELOPE,lope,20
324,lope_ElSantoNegroRosambucoDeLaCiudadDePalermo_AL0866-ARTELOPE,lope,20
325,lope_ElSolParado_AL0887-ARTELOPE,lope,20
326,lope_ElTestimonioVengado_AL0896-ARTELOPE,lope,20
327,lope_ElToledanoVengadoYCelosoVengado_AL0899-ARTELOPE,lope,20
328,lope_ElTriunfoDeLaHumildadYSoberbiaAbatida_AL0681-ARTELOPE,lope,20
329,lope_ElTruhanDelCieloYLocoSanto_AL2024-ARTELOPE,lope,20
330,lope_ElValienteCespedes_AL0906-ARTELOPE,lope,20
331,lope_ElValorDeLasMujeres_AL0907-ARTELOPE,lope,20
332,lope_ElVaqueroDeMorana_AL0909-ARTELOPE,lope,20
333,lope_ElVasoDeEleccionYDoctorDeLasGentesSanPablo_AL3558-ARTELOPE,lope,20
334,lope_ElVerdaderoAmante_AL0920-ARTELOPE,lope,20
335,lope_ElVillanoEnSuRincon_C6053_CANON,lope,20
336,lope_EnLosIndiciosLaCulpa_AL0614-ARTELOPE,lope,20
337,lope_Fuenteovejuna_C6046_CANON,lope,20
338,lope_GuardarYGuardarse_AL0656-ARTELOPE,lope,20
339,lope_GuerrasDeAmorYDeHonor_AL0657-ARTELOPE,lope,20
340,lope_HijoDeLosLeones_AL0671-ARTELOPE,lope,20
341,lope_JorgeToledano_AL0693-ARTELOPE,lope,20
342,lope_JuanDeDiosYAntonMartin_AL0695-ARTELOPE,lope,20
343,lope_JulianRomero_AL0697-ARTELOPE,lope,20
344,lope_LaAdversaFortunaDeDonBernardoDeCabrera_AL0475-ARTELOPE,lope,20
345,lope_LaAldehuela_AL0480-ARTELOPE,lope,20
346,lope_LaAmistadYObligacion_AL0490-ARTELOPE,lope,20
347,lope_LaArcadia_AL0502-ARTELOPE,lope,20
348,lope_LaBatallaDelHonor_AL0518-ARTELOPE,lope,20
349,lope_LaBellaAurora_AL0522-ARTELOPE,lope,20
350,lope_LaBellaMalmaridadaOLaCortesana_AL0523-ARTELOPE,lope,20
351,lope_LaBobaParaLosOtrosYDiscretaParaSi_AL0527-ARTELOPE,lope,20
352,lope_LaBuenaGuarda_AL0532-ARTELOPE,lope,20
353,lope_LaBurgalesaDeLerma_AL0533-ARTELOPE,lope,20
354,lope_LaCampanaDeAragon_AL0541-ARTELOPE,lope,20
